sku,country,unit,seller,min_price,min_price_date,max_price,max_price_date,current_price,current_price_date,average_price
B01GVQUX3U,Germany,€,new,12.73,2019-11-12 00:00:00,94.99,2022-02-22 00:00:00,56.88,2024-01-19 00:00:00,58.38
B01GVQUX3U,Germany,€,used,15.0,2018-01-18 00:00:00,99.99,2021-03-15 00:00:00,59.95,2024-01-19 00:00:00,44.13
B01HTTQ6A2,Germany,€,amazon,18.99,2019-11-23 00:00:00,42.78,2017-02-03 00:00:00,33.99,2024-01-06 00:00:00,32.89
B01HTTQ6A2,Germany,€,new,12.88,2019-09-30 00:00:00,54.93,2016-11-03 00:00:00,,,36.37
B01HTTQ6A2,Germany,€,used,15.12,2019-09-23 00:00:00,56.6,2017-05-29 00:00:00,32.97,2024-01-19 00:00:00,33.03
B01HZ5K8UE,Germany,€,amazon,27.99,2022-11-18 00:00:00,59.99,2021-03-11 00:00:00,35.99,2023-11-29 00:00:00,37.76
B01HZ5K8UE,Germany,€,new,24.0,2019-10-09 00:00:00,95.38,2019-04-21 00:00:00,,,41.79
B01HZ5K8UE,Germany,€,used,26.03,2019-10-11 00:00:00,80.79,2018-11-04 00:00:00,33.65,2023-11-28 00:00:00,41.7
B01IZVSAKC,Germany,€,amazon,27.99,2019-08-16 00:00:00,69.99,2019-02-14 00:00:00,,,39.5
B01IZVSAKC,Germany,€,new,25.99,2020-05-29 00:00:00,86.09,2023-11-21 00:00:00,54.35,2024-01-19 00:00:00,56.21
B01IZVSAKC,Germany,€,used,7.9,2017-12-06 00:00:00,57.49,2022-09-23 00:00:00,,,35.37
